MeasurementID,DateID,TimeID,Datetime,ReadingID,CO_Concentration,NMHC_Concentration,Benzene_Concentration,NOx_Concentration,NO2_Concentration,Temperature,Relative_Humidity,Absolute_Humidity,Day,Month,Year,Hour,PT08_S1,PT08_S2,PT08_S3,PT08_S4,PT08_S5,Category
64,64,64,13/03/2004 9:00,64,3.7,239,15.1,295,119,9.6,59.7,0.7124,13,3,2004,9,1408,1153,830,1777,1411,Low
65,65,65,13/03/2004 10:00,65,3.2,160,12.9,250,126,12.4,51.2,0.7335,13,3,2004,10,1447,1081,869,1667,1465,Mid
66,66,66,13/03/2004 11:00,66,4.1,283,16.1,296,158,15.6,42.2,0.7451,13,3,2004,11,1542,1184,808,1780,1583,Mid
67,67,67,13/03/2004 12:00,67,3.6,210,14.0,239,161,18.4,33.8,0.709,13,3,2004,12,1451,1117,875,1679,1387,Mid
68,68,68,13/03/2004 13:00,68,2.8,154,12.3,153,124,19.4,31.3,0.695,13,3,2004,13,1328,1059,987,1600,1101,Mid
69,69,69,13/03/2004 14:00,69,2.0,112,8.6,118,102,18.0,34.8,0.7127,13,3,2004,14,1207,924,1088,1488,850,Mid
70,70,70,13/03/2004 15:00,70,2.0,108,9.2,119,116,18.4,33.6,0.7042,13,3,2004,15,1240,947,1049,1532,947,Mid
71,71,71,13/03/2004 16:00,71,2.5,111,10.2,138,124,17.6,35.1,0.7012,13,3,2004,16,1306,987,1004,1554,1078,Mid
72,72,72,13/03/2004 17:00,72,2.3,97,10.6,148,125,16.7,37.8,0.7117,13,3,2004,17,1326,1000,976,1602,1084,Mid
73,73,73,13/03/2004 18:00,73,3.2,191,15.5,227,148,16.1,41.0,0.7451,13,3,2004,18,1473,1163,831,1779,1395,Mid
74,74,74,13/03/2004 19:00,74,4.2,258,19.6,277,165,15.8,42.4,0.7569,13,3,2004,19,1609,1286,758,1922,1612,Mid
75,75,75,13/03/2004 20:00,75,4.2,284,19.2,279,161,15.7,44.1,0.7786,13,3,2004,20,1611,1274,754,1915,1697,Mid
76,76,76,13/03/2004 21:00,76,4.2,269,18.3,283,159,15.3,46.8,0.8091,13,3,2004,21,1621,1247,762,1860,1886,Mid
77,77,77,13/03/2004 22:00,77,3.1,180,13.1,214,143,14.6,48.6,0.806,13,3,2004,22,1444,1089,844,1748,1624,Mid
78,78,78,13/03/2004 23:00,78,2.6,116,10.9,172,130,14.7,49.3,0.8193,13,3,2004,23,1418,1010,892,1603,1536,Mid
79,79,79,14/03/2004 0:00,79,2.9,93,11.0,190,129,13.9,53.6,0.8498,14,3,2004,0,1534,1013,889,1611,1535,Mid
80,80,80,14/03/2004 1:00,80,2.8,131,11.9,174,119,14.6,51.5,0.8536,14,3,2004,1,1484,1045,880,1624,1530,Mid
81,81,81,14/03/2004 2:00,81,2.5,92,8.6,128,104,12.5,58.9,0.8537,14,3,2004,2,1367,925,953,1543,1337,Mid
84,84,84,14/03/2004 5:00,84,1.2,32,3.7,53,70,11.5,63.1,0.8533,14,3,2004,5,1062,691,1272,1377,929,Mid
85,85,85,14/03/2004 6:00,85,1.0,29,2.5,44,63,11.6,62.2,0.8473,14,3,2004,6,1076,618,1395,1333,872,Mid
86,86,86,14/03/2004 7:00,86,0.9,27,2.4,74,67,10.4,67.6,0.853,14,3,2004,7,1028,615,1384,1340,853,Mid
87,87,87,14/03/2004 8:00,87,1.4,36,4.2,101,84,11.6,62.7,0.853,14,3,2004,8,1155,722,1225,1414,959,Mid
88,88,88,14/03/2004 9:00,88,1.6,57,6.4,118,83,12.4,60.0,0.8627,14,3,2004,9,1235,828,1055,1527,1093,Mid
89,89,89,14/03/2004 10:00,89,2.2,129,8.6,144,98,14.5,53.1,0.8728,14,3,2004,10,1332,923,952,1614,1225,Mid
90,90,90,14/03/2004 11:00,90,2.8,148,10.9,176,114,16.9,46.1,0.8789,14,3,2004,11,1445,1009,878,1696,1355,Mid
91,91,91,14/03/2004 12:00,91,2.8,145,10.7,161,119,19.3,38.3,0.8474,14,3,2004,12,1416,1002,907,1677,1262,Mid
92,92,92,14/03/2004 13:00,92,2.0,93,7.5,113,104,21.2,31.4,0.7812,14,3,2004,13,1281,880,1084,1525,980,High
93,93,93,14/03/2004 14:00,93,1.8,84,7.5,103,102,21.4,30.2,0.7616,14,3,2004,14,1207,879,1104,1490,872,High
94,94,94,14/03/2004 15:00,94,1.9,99,8.2,112,107,21.9,29.0,0.7525,14,3,2004,15,1258,906,1081,1511,900,High
95,95,95,14/03/2004 16:00,95,3.0,150,11.9,170,129,22.2,28.4,0.7516,14,3,2004,16,1458,1045,974,1646,1099,High
96,96,96,14/03/2004 17:00,96,2.9,156,12.0,180,128,21.3,30.8,0.7696,14,3,2004,17,1438,1051,943,1668,1206,High
97,97,97,14/03/2004 18:00,97,2.5,122,12.2,160,121,19.7,36.7,0.8307,14,3,2004,18,1478,1055,929,1671,1262,Mid
98,98,98,14/03/2004 19:00,98,4.6,262,20.6,261,157,18.4,41.7,0.8732,14,3,2004,19,1808,1312,753,1993,1698,Mid
99,99,99,14/03/2004 20:00,99,5.9,341,23.1,325,173,17.6,46.1,0.921,14,3,2004,20,1898,1381,681,2103,1905,Mid
100,100,100,14/03/2004 21:00,100,3.4,214,14.7,217,146,16.7,49.6,0.932,14,3,2004,21,1560,1140,784,1818,1648,Mid
101,101,101,14/03/2004 22:00,101,2.1,100,9.0,146,121,16.3,51.0,0.9341,14,3,2004,22,1324,940,924,1587,1423,Mid
102,102,102,14/03/2004 23:00,102,2.2,79,8.8,152,119,14.7,55.9,0.9314,14,3,2004,23,1349,933,933,1617,1349,Mid
103,103,103,15/03/2004 0:00,103,1.8,66,7.4,104,99,14.8,54.7,0.9164,15,3,2004,0,1239,872,985,1547,1250,Mid
104,104,104,15/03/2004 1:00,104,1.8,73,6.9,106,93,14.0,57.0,0.9094,15,3,2004,1,1239,853,1010,1543,1174,Mid
105,105,105,15/03/2004 2:00,105,1.8,66,7.0,108,88,13.4,61.3,0.9361,15,3,2004,2,1224,855,998,1566,1149,Mid
108,108,108,15/03/2004 5:00,108,1.0,39,3.9,88,74,11.9,67.4,0.9375,15,3,2004,5,1075,703,1156,1464,1010,Mid
109,109,109,15/03/2004 6:00,109,1.4,51,6.4,138,80,11.4,70.5,0.9475,15,3,2004,6,1157,830,1030,1584,1083,Mid
110,110,110,15/03/2004 7:00,110,2.2,107,9.7,228,89,11.3,70.2,0.9401,15,3,2004,7,1314,966,897,1710,1235,Mid
111,111,111,15/03/2004 8:00,111,5.5,336,25.9,360,114,12.4,63.9,0.917,15,3,2004,8,1797,1451,652,2323,1680,Mid
112,112,112,15/03/2004 9:00,112,8.1,618,36.7,478,149,14.8,54.3,0.9076,15,3,2004,9,1961,1701,537,2665,2184,Mid
113,113,113,15/03/2004 10:00,113,5.8,438,26.6,394,157,17.4,45.6,0.8993,15,3,2004,10,1771,1470,622,2262,1973,Mid
114,114,114,15/03/2004 11:00,114,4.2,334,20.1,319,155,19.8,38.5,0.8801,15,3,2004,11,1564,1300,710,2029,1798,Mid
115,115,115,15/03/2004 12:00,115,3.1,221,14.1,201,134,22.0,34.1,0.8904,15,3,2004,12,1430,1120,831,1783,1522,High
116,116,116,15/03/2004 13:00,116,2.9,207,14.9,171,119,23.3,32.2,0.9096,15,3,2004,13,1417,1146,830,1831,1404,High
117,117,117,15/03/2004 14:00,117,2.9,191,15.4,159,111,23.9,30.0,0.8757,15,3,2004,14,1400,1162,838,1829,1263,High
118,118,118,15/03/2004 15:00,118,2.5,185,12.1,153,104,24.4,28.9,0.8736,15,3,2004,15,1317,1053,926,1707,1137,High
119,119,119,15/03/2004 16:00,119,2.3,141,11.5,143,99,24.4,29.4,0.8848,15,3,2004,16,1318,1033,950,1675,1068,High
120,120,120,15/03/2004 17:00,120,2.8,214,14.8,156,110,23.8,31.3,0.9137,15,3,2004,17,1445,1141,857,1824,1252,High
121,121,121,15/03/2004 18:00,121,6.1,471,32.1,314,162,22.5,35.4,0.9547,15,3,2004,18,1917,1601,631,2447,1843,High
122,122,122,15/03/2004 19:00,122,8.0,685,39.2,404,187,20.4,42.5,1.0086,15,3,2004,19,2040,1754,542,2679,2122,High
123,123,123,15/03/2004 20:00,123,6.5,538,31.0,320,165,18.3,52.6,1.0945,15,3,2004,20,1895,1573,565,2443,1992,Mid
124,124,124,15/03/2004 21:00,124,4.2,319,19.9,256,145,16.7,57.4,1.0786,15,3,2004,21,1595,1294,678,2058,1707,Mid
125,125,125,15/03/2004 22:00,125,3.2,224,15.3,193,125,15.7,60.2,1.0654,15,3,2004,22,1439,1159,764,1856,1494,Mid
126,126,126,15/03/2004 23:00,126,1.4,67,6.9,89,101,15.3,61.4,1.058,15,3,2004,23,1142,852,1008,1547,1164,Mid
127,127,127,16/03/2004 0:00,127,2.1,155,11.1,127,103,14.1,65.7,1.0494,16,3,2004,0,1304,1019,852,1731,1272,Mid
128,128,128,16/03/2004 1:00,128,1.2,49,5.4,79,88,14.8,60.6,1.0148,16,3,2004,1,1074,784,1098,1483,1040,Mid
129,129,129,16/03/2004 2:00,129,0.8,29,2.8,43,61,14.8,59.2,0.9879,16,3,2004,2,968,640,1320,1386,867,Mid
132,132,132,16/03/2004 5:00,132,0.6,17,2.0,38,52,12.8,63.2,0.9283,16,3,2004,5,937,585,1412,1348,793,Mid
133,133,133,16/03/2004 6:00,133,0.9,27,3.5,82,64,11.2,68.5,0.9081,16,3,2004,6,1017,681,1246,1418,870,Mid
134,134,134,16/03/2004 7:00,134,1.3,50,5.1,99,70,11.0,66.5,0.8705,16,3,2004,7,1171,770,1162,1467,930,Mid
135,135,135,16/03/2004 8:00,135,3.4,218,16.2,263,97,11.7,63.7,0.8719,16,3,2004,8,1541,1185,770,1889,1407,Mid
136,136,136,16/03/2004 9:00,136,3.7,285,19.7,229,95,13.6,56.3,0.8743,16,3,2004,9,1539,1287,698,2055,1507,Mid
137,137,137,16/03/2004 10:00,137,5.3,437,25.1,396,150,17.8,42.9,0.8672,16,3,2004,10,1735,1431,628,2211,1843,Mid
138,138,138,16/03/2004 11:00,138,4.1,327,20.0,314,162,21.4,33.3,0.8417,16,3,2004,11,1571,1297,730,1973,1729,High
139,139,139,16/03/2004 12:00,139,3.3,283,18.3,217,154,24.4,27.4,0.8231,16,3,2004,12,1452,1250,776,1868,1583,High
140,140,140,16/03/2004 13:00,140,4.0,366,22.3,252,161,25.3,26.1,0.8264,16,3,2004,13,1579,1359,724,1998,1671,High
141,141,141,16/03/2004 14:00,141,3.8,318,20.4,263,161,25.8,23.2,0.7589,16,3,2004,14,1466,1309,773,1897,1491,High
142,142,142,16/03/2004 15:00,142,2.8,228,14.6,180,128,27.0,20.2,0.7094,16,3,2004,15,1280,1136,893,1675,1240,High
143,143,143,16/03/2004 16:00,143,2.9,201,16.6,184,129,28.2,18.6,0.7014,16,3,2004,16,1407,1197,905,1759,1313,High
144,144,144,16/03/2004 17:00,144,2.9,199,15.8,190,133,28.0,19.1,0.7098,16,3,2004,17,1389,1173,898,1739,1363,High
145,145,145,16/03/2004 18:00,145,3.4,237,17.8,184,139,23.9,25.7,0.7519,16,3,2004,18,1447,1235,859,1778,1296,High
146,146,146,16/03/2004 19:00,146,3.9,261,19.1,181,137,21.3,34.8,0.873,16,3,2004,19,1551,1271,800,1875,1432,High
147,147,147,16/03/2004 20:00,147,3.2,230,15.8,166,143,20.4,36.7,0.8704,16,3,2004,20,1474,1173,854,1776,1432,High
148,148,148,16/03/2004 21:00,148,5.1,349,24.9,317,177,19.0,41.3,0.9007,16,3,2004,21,1800,1426,700,2106,2034,Mid
149,149,149,16/03/2004 22:00,149,2.6,183,13.5,184,138,17.9,45.9,0.9342,16,3,2004,22,1379,1101,818,1710,1602,Mid
150,150,150,16/03/2004 23:00,150,1.7,88,9.1,130,117,16.7,48.9,0.9226,16,3,2004,23,1201,943,935,1560,1362,Mid
151,151,151,17/03/2004 0:00,151,1.7,85,8.6,132,107,15.5,52.9,0.9271,17,3,2004,0,1205,925,922,1547,1314,Mid
152,152,152,17/03/2004 1:00,152,1.2,47,5.4,95,90,15.5,51.9,0.9059,17,3,2004,1,1072,784,1066,1442,1114,Mid
153,153,153,17/03/2004 2:00,153,0.9,34,4.1,70,79,14.1,55.6,0.891,17,3,2004,2,998,714,1169,1383,992,Mid
156,156,156,17/03/2004 5:00,156,0.5,11,1.6,28,40,11.8,58.0,0.8026,17,3,2004,5,869,554,1460,1268,667,Mid
157,157,157,17/03/2004 6:00,157,0.5,18,1.9,46,53,11.9,57.4,0.7978,17,3,2004,6,891,576,1417,1289,733,Mid
158,158,158,17/03/2004 7:00,158,1.6,84,7.5,160,84,9.9,65.2,0.7956,17,3,2004,7,1173,878,1038,1556,1052,Low
159,159,159,17/03/2004 8:00,159,4.1,260,21.4,320,108,11.1,60.2,0.7958,17,3,2004,8,1587,1334,702,1999,1534,Mid
160,160,160,17/03/2004 9:00,160,6.6,534,36.4,377,127,14.1,50.0,0.802,17,3,2004,9,1852,1696,553,2535,1931,Mid
161,161,161,17/03/2004 10:00,161,4.3,368,21.3,280,134,17.7,40.1,0.8048,17,3,2004,10,1522,1331,703,2026,1734,Mid
162,162,162,17/03/2004 11:00,162,2.9,200,15.4,221,135,21.1,33.4,0.8265,17,3,2004,11,1438,1161,819,1782,1595,High
163,163,163,17/03/2004 12:00,163,2.5,145,12.5,210,142,24.3,28.3,0.8471,17,3,2004,12,1393,1067,905,1654,1490,High
164,164,164,17/03/2004 13:00,164,2.8,188,15.1,204,153,25.6,25.6,0.8254,17,3,2004,13,1452,1152,861,1747,1508,High
165,165,165,17/03/2004 14:00,165,2.6,152,13.7,161,123,25.9,25.9,0.8503,17,3,2004,14,1389,1108,887,1712,1334,High
166,166,166,17/03/2004 15:00,166,2.0,103,10.4,135,104,26.8,18.7,0.65,17,3,2004,15,1207,994,1013,1520,1045,High
167,167,167,17/03/2004 16:00,167,2.9,193,15.2,186,129,29.3,15.8,0.6309,17,3,2004,16,1365,1154,940,1679,1221,High
168,168,168,17/03/2004 17:00,168,2.5,134,12.3,147,114,28.5,14.9,0.5708,17,3,2004,17,1247,1060,1032,1525,1069,High
169,169,169,17/03/2004 18:00,169,5.0,386,27.0,299,158,25.9,16.0,0.5237,17,3,2004,18,1557,1478,793,1981,1569,High
170,170,170,17/03/2004 19:00,170,7.6,577,38.4,411,194,23.1,26.5,0.7403,17,3,2004,19,1973,1737,617,2414,2306,High
171,171,171,17/03/2004 20:00,171,6.7,523,35.1,347,182,20.5,38.2,0.9133,17,3,2004,20,1975,1667,597,2416,2359,High
172,172,172,17/03/2004 21:00,172,5.7,472,27.2,336,180,19.1,42.6,0.9294,17,3,2004,21,1795,1485,653,2174,2050,Mid
173,173,173,17/03/2004 22:00,173,2.8,206,15.0,202,136,17.2,44.1,0.8558,17,3,2004,22,1444,1150,770,1727,1727,Mid
174,174,174,17/03/2004 23:00,174,2.6,216,15.7,178,127,16.0,50.9,0.9206,17,3,2004,23,1488,1171,731,1778,1705,Mid
175,175,175,18/03/2004 0:00,175,2.3,159,13.0,154,116,14.8,53.9,0.9024,18,3,2004,0,1371,1083,796,1669,1551,Mid
176,176,176,18/03/2004 1:00,176,1.4,70,8.1,92,107,14.3,55.4,0.8975,18,3,2004,1,1161,904,947,1502,1240,Mid
177,177,177,18/03/2004 2:00,177,1.0,44,5.5,61,88,14.8,52.1,0.8686,18,3,2004,2,1064,787,1057,1407,1115,Mid
180,180,180,18/03/2004 5:00,180,0.6,20,2.5,37,57,12.0,58.9,0.8233,18,3,2004,5,931,623,1293,1307,828,Mid
181,181,181,18/03/2004 6:00,181,0.7,26,3.0,68,71,10.9,62.1,0.8113,18,3,2004,6,938,650,1251,1333,893,Mid
182,182,182,18/03/2004 7:00,182,1.5,78,7.7,139,85,10.6,63.3,0.8067,18,3,2004,7,1166,885,1005,1551,1075,Mid
183,183,183,18/03/2004 8:00,183,4.7,319,23.3,339,124,11.5,60.0,0.8117,18,3,2004,8,1643,1384,667,2094,1610,Mid
184,184,184,18/03/2004 9:00,184,6.6,506,35.8,421,151,14.3,50.6,0.8186,18,3,2004,9,1934,1682,541,2468,2051,Mid
287,287,287,22/03/2004 16:00,287,2.3,451,11.6,150,101,21.3,24.2,0.606,22,3,2004,16,1076,1034,964,1544,813,High
288,288,288,22/03/2004 17:00,288,2.6,185,12.4,138,103,20.2,28.5,0.6682,22,3,2004,17,1152,1062,928,1606,850,High
289,289,289,22/03/2004 18:00,289,3.8,426,18.3,213,129,17.0,43.1,0.8264,22,3,2004,18,1407,1249,720,1932,1276,Mid
290,290,290,22/03/2004 19:00,290,4.4,672,21.0,232,143,15.6,47.4,0.8347,22,3,2004,19,1438,1325,678,1993,1401,Mid
291,291,291,22/03/2004 20:00,291,4.5,624,21.0,238,146,15.3,47.4,0.8178,22,3,2004,20,1425,1325,678,1965,1356,Mid
292,292,292,22/03/2004 21:00,292,3.3,325,14.5,180,124,14.5,49.7,0.8177,22,3,2004,21,1279,1131,775,1758,1243,Mid
293,293,293,22/03/2004 22:00,293,2.0,143,8.4,128,113,13.9,52.0,0.8231,22,3,2004,22,1132,916,920,1561,1083,Mid
294,294,294,22/03/2004 23:00,294,1.1,89,4.3,65,80,14.5,49.4,0.8106,22,3,2004,23,1006,729,1142,1370,795,Mid
295,295,295,23/03/2004 0:00,295,0.9,73,3.8,53,72,13.8,51.4,0.8071,23,3,2004,0,982,700,1204,1359,735,Mid
296,296,296,23/03/2004 1:00,296,0.8,48,2.7,47,64,14.0,51.3,0.8163,23,3,2004,1,969,636,1271,1309,684,Mid
297,297,297,23/03/2004 2:00,297,0.7,47,2.5,51,70,13.0,56.8,0.8444,23,3,2004,2,941,621,1298,1330,714,Mid
300,300,300,23/03/2004 5:00,300,0.3,19,0.6,13,22,8.8,80.5,0.9147,23,3,2004,5,834,459,1908,1212,361,Low
301,301,301,23/03/2004 6:00,301,0.5,26,1.8,33,47,9.6,75.4,0.9004,23,3,2004,6,909,567,1542,1287,418,Low
302,302,302,23/03/2004 7:00,302,1.1,60,4.6,103,88,9.8,75.0,0.9093,23,3,2004,7,1061,745,1178,1429,616,Low
303,303,303,23/03/2004 8:00,303,3.0,248,14.2,224,130,10.0,74.2,0.9117,23,3,2004,8,1441,1124,851,1829,1089,Mid
304,304,304,23/03/2004 9:00,304,3.8,535,21.0,244,132,11.2,69.7,0.9232,23,3,2004,9,1498,1325,684,2095,1329,Mid
305,305,305,23/03/2004 10:00,305,3.4,340,16.2,237,132,12.0,62.9,0.8803,23,3,2004,10,1343,1185,760,1857,1311,Mid
306,306,306,23/03/2004 11:00,306,3.0,325,15.5,220,131,12.8,55.8,0.821,23,3,2004,11,1308,1166,792,1794,1236,Mid
307,307,307,23/03/2004 12:00,307,2.7,267,13.4,207,129,13.1,54.8,0.8234,23,3,2004,12,1209,1097,837,1746,1147,Mid
308,308,308,23/03/2004 13:00,308,3.5,325,16.9,208,132,13.8,53.4,0.8351,23,3,2004,13,1310,1207,770,1847,1301,Mid
309,309,309,23/03/2004 14:00,309,2.8,268,12.4,160,110,16.0,42.4,0.7674,23,3,2004,14,1171,1064,881,1639,1097,Mid
310,310,310,23/03/2004 15:00,310,1.9,136,10.1,131,99,14.1,49.8,0.7971,23,3,2004,15,1112,980,924,1589,900,Mid
311,311,311,23/03/2004 16:00,311,2.0,118,8.7,128,100,12.0,61.1,0.8537,23,3,2004,16,1132,927,944,1570,781,Mid
