MeasurementID,DateID,TimeID,ReadingID,CO_Concentration,NMHC_Concentration,Benzene_Concentration,NOx_Concentration,NO2_Concentration,Temperature,Relative_Humidity,Absolute_Humidity,Day,Month,Year,Hour,Minute,Second,PT08_S1,PT08_S2,PT08_S3,PT08_S4,PT08_S5
15,15,15,15,2.0,64.0,8.0,174.0,112.0,10.8,57.4,0.7408,11.0,3.0,2004.0,8.0,0.0,0.0,1333.0,900.0,1136.0,1517.0,1102.0
16,16,16,16,2.2,87.0,9.5,129.0,101.0,10.5,60.6,0.7691,11.0,3.0,2004.0,9.0,0.0,0.0,1351.0,960.0,1079.0,1583.0,1028.0
17,17,17,17,1.7,77.0,6.3,112.0,98.0,10.8,58.4,0.7552,11.0,3.0,2004.0,10.0,0.0,0.0,1233.0,827.0,1218.0,1446.0,860.0
18,18,18,18,1.5,43.0,5.0,95.0,92.0,10.5,57.9,0.7352,11.0,3.0,2004.0,11.0,0.0,0.0,1179.0,762.0,1328.0,1362.0,671.0
19,19,19,19,1.6,61.0,5.2,104.0,95.0,9.5,66.8,0.7951,11.0,3.0,2004.0,12.0,0.0,0.0,1236.0,774.0,1301.0,1401.0,664.0
20,20,20,20,1.9,63.0,7.3,146.0,112.0,8.3,76.4,0.8393,11.0,3.0,2004.0,13.0,0.0,0.0,1286.0,869.0,1162.0,1537.0,799.0
21,21,21,21,2.9,164.0,11.5,207.0,128.0,8.0,81.1,0.8736,11.0,3.0,2004.0,14.0,0.0,0.0,1371.0,1034.0,983.0,1730.0,1037.0
22,22,22,22,2.2,79.0,8.8,184.0,126.0,8.3,79.8,0.8778,11.0,3.0,2004.0,15.0,0.0,0.0,1310.0,933.0,1082.0,1647.0,946.0
23,23,23,23,2.2,95.0,8.3,193.0,131.0,9.7,71.2,0.8569,11.0,3.0,2004.0,16.0,0.0,0.0,1292.0,912.0,1103.0,1591.0,957.0
24,24,24,24,2.9,150.0,11.2,243.0,135.0,9.8,67.6,0.8185,11.0,3.0,2004.0,17.0,0.0,0.0,1383.0,1020.0,1008.0,1719.0,1104.0
25,25,25,25,4.8,307.0,20.8,281.0,151.0,10.3,64.2,0.8065,11.0,3.0,2004.0,18.0,0.0,0.0,1581.0,1319.0,799.0,2083.0,1409.0
26,26,26,26,6.9,461.0,27.4,383.0,172.0,9.7,69.3,0.8319,11.0,3.0,2004.0,19.0,0.0,0.0,1776.0,1488.0,702.0,2333.0,1704.0
27,27,27,27,6.1,401.0,24.0,351.0,165.0,9.6,67.8,0.8133,11.0,3.0,2004.0,20.0,0.0,0.0,1640.0,1404.0,743.0,2191.0,1654.0
28,28,28,28,3.9,197.0,12.8,240.0,136.0,9.1,64.0,0.7419,11.0,3.0,2004.0,21.0,0.0,0.0,1313.0,1076.0,957.0,1707.0,1285.0
29,29,29,29,1.5,61.0,4.7,94.0,85.0,8.2,63.4,0.6905,11.0,3.0,2004.0,22.0,0.0,0.0,965.0,749.0,1325.0,1333.0,821.0
30,30,30,30,1.0,26.0,2.6,47.0,53.0,8.2,60.8,0.6657,11.0,3.0,2004.0,23.0,0.0,0.0,913.0,629.0,1565.0,1252.0,552.0
31,31,31,31,1.7,55.0,5.9,122.0,97.0,8.3,58.5,0.6438,12.0,3.0,2004.0,0.0,0.0,0.0,1080.0,805.0,1254.0,1375.0,816.0
32,32,32,32,1.9,53.0,6.4,133.0,110.0,7.7,59.7,0.6308,12.0,3.0,2004.0,1.0,0.0,0.0,1044.0,829.0,1247.0,1378.0,832.0
33,33,33,33,1.4,40.0,4.1,82.0,91.0,7.1,61.8,0.6276,12.0,3.0,2004.0,2.0,0.0,0.0,988.0,718.0,1396.0,1304.0,692.0
34,34,34,34,0.8,21.0,1.9,-200.0,-200.0,7.0,62.3,0.6261,12.0,3.0,2004.0,3.0,0.0,0.0,889.0,574.0,1680.0,1187.0,512.0
35,35,35,35,-200.0,10.0,1.1,21.0,32.0,6.1,65.9,0.6248,12.0,3.0,2004.0,4.0,0.0,0.0,831.0,506.0,1893.0,1134.0,384.0
36,36,36,36,0.6,7.0,1.0,30.0,44.0,6.3,65.0,0.6233,12.0,3.0,2004.0,5.0,0.0,0.0,847.0,501.0,1895.0,1155.0,394.0
37,37,37,37,0.8,17.0,1.8,56.0,71.0,6.8,62.9,0.6234,12.0,3.0,2004.0,6.0,0.0,0.0,927.0,571.0,1685.0,1223.0,487.0
38,38,38,38,1.4,33.0,4.4,109.0,104.0,6.4,65.1,0.6316,12.0,3.0,2004.0,7.0,0.0,0.0,1091.0,730.0,1387.0,1361.0,748.0
39,39,39,39,4.4,202.0,17.9,307.0,141.0,7.3,63.1,0.6499,12.0,3.0,2004.0,8.0,0.0,0.0,1587.0,1236.0,897.0,1900.0,1400.0
40,40,40,40,-200.0,-200.0,22.1,-200.0,-200.0,9.2,56.2,0.6561,12.0,3.0,2004.0,9.0,0.0,0.0,1545.0,1353.0,767.0,2058.0,1588.0
41,41,41,41,3.1,208.0,14.0,187.0,122.0,13.2,41.7,0.632,12.0,3.0,2004.0,10.0,0.0,0.0,1350.0,1118.0,912.0,1712.0,1237.0
42,42,42,42,2.7,166.0,11.6,216.0,143.0,14.3,38.4,0.6243,12.0,3.0,2004.0,11.0,0.0,0.0,1263.0,1037.0,969.0,1598.0,1167.0
43,43,43,43,2.1,114.0,10.2,143.0,113.0,15.0,36.5,0.6195,12.0,3.0,2004.0,12.0,0.0,0.0,1206.0,986.0,1035.0,1537.0,959.0
44,44,44,44,2.5,140.0,11.0,160.0,116.0,16.1,34.5,0.6262,12.0,3.0,2004.0,13.0,0.0,0.0,1252.0,1016.0,1008.0,1593.0,983.0
45,45,45,45,2.7,169.0,12.8,163.0,123.0,16.3,35.7,0.656,12.0,3.0,2004.0,14.0,0.0,0.0,1287.0,1078.0,949.0,1660.0,1061.0
46,46,46,46,2.9,185.0,14.2,190.0,126.0,15.8,37.0,0.661,12.0,3.0,2004.0,15.0,0.0,0.0,1353.0,1122.0,922.0,1740.0,1139.0
47,47,47,47,2.8,165.0,12.7,178.0,120.0,15.9,37.2,0.6657,12.0,3.0,2004.0,16.0,0.0,0.0,1309.0,1073.0,954.0,1657.0,1112.0
48,48,48,48,2.4,133.0,11.7,150.0,119.0,16.9,34.3,0.6549,12.0,3.0,2004.0,17.0,0.0,0.0,1274.0,1041.0,1006.0,1610.0,994.0
49,49,49,49,3.9,233.0,19.3,206.0,149.0,15.1,39.6,0.6766,12.0,3.0,2004.0,18.0,0.0,0.0,1510.0,1277.0,812.0,1910.0,1410.0
50,50,50,50,3.7,242.0,18.2,202.0,145.0,14.4,43.4,0.7084,12.0,3.0,2004.0,19.0,0.0,0.0,1525.0,1246.0,821.0,1847.0,1448.0
51,51,51,51,6.6,488.0,32.6,340.0,170.0,12.9,50.5,0.7478,12.0,3.0,2004.0,20.0,0.0,0.0,1843.0,1610.0,624.0,2390.0,1887.0
52,52,52,52,4.4,333.0,20.1,274.0,149.0,12.1,53.3,0.7536,12.0,3.0,2004.0,21.0,0.0,0.0,1598.0,1299.0,752.0,1941.0,1627.0
53,53,53,53,3.5,215.0,14.3,253.0,139.0,11.0,59.1,0.774,12.0,3.0,2004.0,22.0,0.0,0.0,1484.0,1127.0,839.0,1723.0,1491.0
54,54,54,54,5.4,367.0,21.8,300.0,134.0,9.7,64.6,0.7771,12.0,3.0,2004.0,23.0,0.0,0.0,1677.0,1346.0,741.0,2062.0,1657.0
55,55,55,55,2.7,122.0,9.6,193.0,113.0,9.5,64.1,0.7597,13.0,3.0,2004.0,0.0,0.0,0.0,1280.0,964.0,963.0,1544.0,1285.0
56,56,56,56,1.9,67.0,7.4,139.0,97.0,9.1,63.9,0.7423,13.0,3.0,2004.0,1.0,0.0,0.0,1196.0,873.0,1071.0,1463.0,1144.0
57,57,57,57,1.6,43.0,5.4,83.0,82.0,8.8,63.9,0.7256,13.0,3.0,2004.0,2.0,0.0,0.0,1184.0,782.0,1176.0,1365.0,1043.0
58,58,58,58,1.7,46.0,5.4,-200.0,-200.0,7.8,67.5,0.7173,13.0,3.0,2004.0,3.0,0.0,0.0,1172.0,783.0,1179.0,1380.0,996.0
59,59,59,59,-200.0,56.0,6.2,109.0,83.0,7.0,71.1,0.7158,13.0,3.0,2004.0,4.0,0.0,0.0,1147.0,821.0,1132.0,1412.0,992.0
60,60,60,60,1.0,30.0,2.6,62.0,65.0,8.3,63.6,0.6982,13.0,3.0,2004.0,5.0,0.0,0.0,978.0,625.0,1420.0,1274.0,819.0
61,61,61,61,1.2,27.0,2.9,53.0,60.0,7.2,67.5,0.6887,13.0,3.0,2004.0,6.0,0.0,0.0,1100.0,646.0,1406.0,1268.0,835.0
62,62,62,62,1.5,47.0,5.1,139.0,77.0,6.3,71.9,0.6932,13.0,3.0,2004.0,7.0,0.0,0.0,1112.0,770.0,1228.0,1409.0,940.0
63,63,63,63,2.7,132.0,11.8,256.0,96.0,6.5,71.6,0.6945,13.0,3.0,2004.0,8.0,0.0,0.0,1336.0,1043.0,935.0,1678.0,1192.0
64,64,64,64,3.7,239.0,15.1,295.0,119.0,9.6,59.7,0.7124,13.0,3.0,2004.0,9.0,0.0,0.0,1408.0,1153.0,830.0,1777.0,1411.0
65,65,65,65,3.2,160.0,12.9,250.0,126.0,12.4,51.2,0.7335,13.0,3.0,2004.0,10.0,0.0,0.0,1447.0,1081.0,869.0,1667.0,1465.0
66,66,66,66,4.1,283.0,16.1,296.0,158.0,15.6,42.2,0.7451,13.0,3.0,2004.0,11.0,0.0,0.0,1542.0,1184.0,808.0,1780.0,1583.0
67,67,67,67,3.6,210.0,14.0,239.0,161.0,18.4,33.8,0.709,13.0,3.0,2004.0,12.0,0.0,0.0,1451.0,1117.0,875.0,1679.0,1387.0
68,68,68,68,2.8,154.0,12.3,153.0,124.0,19.4,31.3,0.695,13.0,3.0,2004.0,13.0,0.0,0.0,1328.0,1059.0,987.0,1600.0,1101.0
69,69,69,69,2.0,112.0,8.6,118.0,102.0,18.0,34.8,0.7127,13.0,3.0,2004.0,14.0,0.0,0.0,1207.0,924.0,1088.0,1488.0,850.0
70,70,70,70,2.0,108.0,9.2,119.0,116.0,18.4,33.6,0.7042,13.0,3.0,2004.0,15.0,0.0,0.0,1240.0,947.0,1049.0,1532.0,947.0
71,71,71,71,2.5,111.0,10.2,138.0,124.0,17.6,35.1,0.7012,13.0,3.0,2004.0,16.0,0.0,0.0,1306.0,987.0,1004.0,1554.0,1078.0
72,72,72,72,2.3,97.0,10.6,148.0,125.0,16.7,37.8,0.7117,13.0,3.0,2004.0,17.0,0.0,0.0,1326.0,1000.0,976.0,1602.0,1084.0
73,73,73,73,3.2,191.0,15.5,227.0,148.0,16.1,41.0,0.7451,13.0,3.0,2004.0,18.0,0.0,0.0,1473.0,1163.0,831.0,1779.0,1395.0
74,74,74,74,4.2,258.0,19.6,277.0,165.0,15.8,42.4,0.7569,13.0,3.0,2004.0,19.0,0.0,0.0,1609.0,1286.0,758.0,1922.0,1612.0
75,75,75,75,4.2,284.0,19.2,279.0,161.0,15.7,44.1,0.7786,13.0,3.0,2004.0,20.0,0.0,0.0,1611.0,1274.0,754.0,1915.0,1697.0
76,76,76,76,4.2,269.0,18.3,283.0,159.0,15.3,46.8,0.8091,13.0,3.0,2004.0,21.0,0.0,0.0,1621.0,1247.0,762.0,1860.0,1886.0
77,77,77,77,3.1,180.0,13.1,214.0,143.0,14.6,48.6,0.806,13.0,3.0,2004.0,22.0,0.0,0.0,1444.0,1089.0,844.0,1748.0,1624.0
78,78,78,78,2.6,116.0,10.9,172.0,130.0,14.7,49.3,0.8193,13.0,3.0,2004.0,23.0,0.0,0.0,1418.0,1010.0,892.0,1603.0,1536.0
79,79,79,79,2.9,93.0,11.0,190.0,129.0,13.9,53.6,0.8498,14.0,3.0,2004.0,0.0,0.0,0.0,1534.0,1013.0,889.0,1611.0,1535.0
80,80,80,80,2.8,131.0,11.9,174.0,119.0,14.6,51.5,0.8536,14.0,3.0,2004.0,1.0,0.0,0.0,1484.0,1045.0,880.0,1624.0,1530.0
81,81,81,81,2.5,92.0,8.6,128.0,104.0,12.5,58.9,0.8537,14.0,3.0,2004.0,2.0,0.0,0.0,1367.0,925.0,953.0,1543.0,1337.0
82,82,82,82,2.4,132.0,9.7,-200.0,-200.0,11.6,63.4,0.8674,14.0,3.0,2004.0,3.0,0.0,0.0,1344.0,968.0,921.0,1620.0,1278.0
83,83,83,83,-200.0,56.0,5.2,70.0,82.0,12.1,61.1,0.8603,14.0,3.0,2004.0,4.0,0.0,0.0,1130.0,773.0,1130.0,1452.0,1051.0
84,84,84,84,1.2,32.0,3.7,53.0,70.0,11.5,63.1,0.8533,14.0,3.0,2004.0,5.0,0.0,0.0,1062.0,691.0,1272.0,1377.0,929.0
85,85,85,85,1.0,29.0,2.5,44.0,63.0,11.6,62.2,0.8473,14.0,3.0,2004.0,6.0,0.0,0.0,1076.0,618.0,1395.0,1333.0,872.0
86,86,86,86,0.9,27.0,2.4,74.0,67.0,10.4,67.6,0.853,14.0,3.0,2004.0,7.0,0.0,0.0,1028.0,615.0,1384.0,1340.0,853.0
87,87,87,87,1.4,36.0,4.2,101.0,84.0,11.6,62.7,0.853,14.0,3.0,2004.0,8.0,0.0,0.0,1155.0,722.0,1225.0,1414.0,959.0
88,88,88,88,1.6,57.0,6.4,118.0,83.0,12.4,60.0,0.8627,14.0,3.0,2004.0,9.0,0.0,0.0,1235.0,828.0,1055.0,1527.0,1093.0
89,89,89,89,2.2,129.0,8.6,144.0,98.0,14.5,53.1,0.8728,14.0,3.0,2004.0,10.0,0.0,0.0,1332.0,923.0,952.0,1614.0,1225.0
90,90,90,90,2.8,148.0,10.9,176.0,114.0,16.9,46.1,0.8789,14.0,3.0,2004.0,11.0,0.0,0.0,1445.0,1009.0,878.0,1696.0,1355.0
91,91,91,91,2.8,145.0,10.7,161.0,119.0,19.3,38.3,0.8474,14.0,3.0,2004.0,12.0,0.0,0.0,1416.0,1002.0,907.0,1677.0,1262.0
92,92,92,92,2.0,93.0,7.5,113.0,104.0,21.2,31.4,0.7812,14.0,3.0,2004.0,13.0,0.0,0.0,1281.0,880.0,1084.0,1525.0,980.0
93,93,93,93,1.8,84.0,7.5,103.0,102.0,21.4,30.2,0.7616,14.0,3.0,2004.0,14.0,0.0,0.0,1207.0,879.0,1104.0,1490.0,872.0
94,94,94,94,1.9,99.0,8.2,112.0,107.0,21.9,29.0,0.7525,14.0,3.0,2004.0,15.0,0.0,0.0,1258.0,906.0,1081.0,1511.0,900.0
95,95,95,95,3.0,150.0,11.9,170.0,129.0,22.2,28.4,0.7516,14.0,3.0,2004.0,16.0,0.0,0.0,1458.0,1045.0,974.0,1646.0,1099.0
96,96,96,96,2.9,156.0,12.0,180.0,128.0,21.3,30.8,0.7696,14.0,3.0,2004.0,17.0,0.0,0.0,1438.0,1051.0,943.0,1668.0,1206.0
97,97,97,97,2.5,122.0,12.2,160.0,121.0,19.7,36.7,0.8307,14.0,3.0,2004.0,18.0,0.0,0.0,1478.0,1055.0,929.0,1671.0,1262.0
98,98,98,98,4.6,262.0,20.6,261.0,157.0,18.4,41.7,0.8732,14.0,3.0,2004.0,19.0,0.0,0.0,1808.0,1312.0,753.0,1993.0,1698.0
99,99,99,99,5.9,341.0,23.1,325.0,173.0,17.6,46.1,0.921,14.0,3.0,2004.0,20.0,0.0,0.0,1898.0,1381.0,681.0,2103.0,1905.0
100,100,100,100,3.4,214.0,14.7,217.0,146.0,16.7,49.6,0.932,14.0,3.0,2004.0,21.0,0.0,0.0,1560.0,1140.0,784.0,1818.0,1648.0
101,101,101,101,2.1,100.0,9.0,146.0,121.0,16.3,51.0,0.9341,14.0,3.0,2004.0,22.0,0.0,0.0,1324.0,940.0,924.0,1587.0,1423.0
102,102,102,102,2.2,79.0,8.8,152.0,119.0,14.7,55.9,0.9314,14.0,3.0,2004.0,23.0,0.0,0.0,1349.0,933.0,933.0,1617.0,1349.0
103,103,103,103,1.8,66.0,7.4,104.0,99.0,14.8,54.7,0.9164,15.0,3.0,2004.0,0.0,0.0,0.0,1239.0,872.0,985.0,1547.0,1250.0
104,104,104,104,1.8,73.0,6.9,106.0,93.0,14.0,57.0,0.9094,15.0,3.0,2004.0,1.0,0.0,0.0,1239.0,853.0,1010.0,1543.0,1174.0
105,105,105,105,1.8,66.0,7.0,108.0,88.0,13.4,61.3,0.9361,15.0,3.0,2004.0,2.0,0.0,0.0,1224.0,855.0,998.0,1566.0,1149.0
106,106,106,106,1.1,44.0,4.4,-200.0,-200.0,12.6,63.5,0.923,15.0,3.0,2004.0,3.0,0.0,0.0,1078.0,734.0,1128.0,1487.0,1021.0
107,107,107,107,-200.0,44.0,4.0,66.0,71.0,12.3,65.4,0.9351,15.0,3.0,2004.0,4.0,0.0,0.0,1078.0,711.0,1150.0,1468.0,1013.0
108,108,108,108,1.0,39.0,3.9,88.0,74.0,11.9,67.4,0.9375,15.0,3.0,2004.0,5.0,0.0,0.0,1075.0,703.0,1156.0,1464.0,1010.0
109,109,109,109,1.4,51.0,6.4,138.0,80.0,11.4,70.5,0.9475,15.0,3.0,2004.0,6.0,0.0,0.0,1157.0,830.0,1030.0,1584.0,1083.0
110,110,110,110,2.2,107.0,9.7,228.0,89.0,11.3,70.2,0.9401,15.0,3.0,2004.0,7.0,0.0,0.0,1314.0,966.0,897.0,1710.0,1235.0
111,111,111,111,5.5,336.0,25.9,360.0,114.0,12.4,63.9,0.917,15.0,3.0,2004.0,8.0,0.0,0.0,1797.0,1451.0,652.0,2323.0,1680.0
112,112,112,112,8.1,618.0,36.7,478.0,149.0,14.8,54.3,0.9076,15.0,3.0,2004.0,9.0,0.0,0.0,1961.0,1701.0,537.0,2665.0,2184.0
113,113,113,113,5.8,438.0,26.6,394.0,157.0,17.4,45.6,0.8993,15.0,3.0,2004.0,10.0,0.0,0.0,1771.0,1470.0,622.0,2262.0,1973.0
114,114,114,114,4.2,334.0,20.1,319.0,155.0,19.8,38.5,0.8801,15.0,3.0,2004.0,11.0,0.0,0.0,1564.0,1300.0,710.0,2029.0,1798.0
115,115,115,115,3.1,221.0,14.1,201.0,134.0,22.0,34.1,0.8904,15.0,3.0,2004.0,12.0,0.0,0.0,1430.0,1120.0,831.0,1783.0,1522.0
116,116,116,116,2.9,207.0,14.9,171.0,119.0,23.3,32.2,0.9096,15.0,3.0,2004.0,13.0,0.0,0.0,1417.0,1146.0,830.0,1831.0,1404.0
117,117,117,117,2.9,191.0,15.4,159.0,111.0,23.9,30.0,0.8757,15.0,3.0,2004.0,14.0,0.0,0.0,1400.0,1162.0,838.0,1829.0,1263.0
118,118,118,118,2.5,185.0,12.1,153.0,104.0,24.4,28.9,0.8736,15.0,3.0,2004.0,15.0,0.0,0.0,1317.0,1053.0,926.0,1707.0,1137.0
119,119,119,119,2.3,141.0,11.5,143.0,99.0,24.4,29.4,0.8848,15.0,3.0,2004.0,16.0,0.0,0.0,1318.0,1033.0,950.0,1675.0,1068.0
120,120,120,120,2.8,214.0,14.8,156.0,110.0,23.8,31.3,0.9137,15.0,3.0,2004.0,17.0,0.0,0.0,1445.0,1141.0,857.0,1824.0,1252.0
121,121,121,121,6.1,471.0,32.1,314.0,162.0,22.5,35.4,0.9547,15.0,3.0,2004.0,18.0,0.0,0.0,1917.0,1601.0,631.0,2447.0,1843.0
122,122,122,122,8.0,685.0,39.2,404.0,187.0,20.4,42.5,1.0086,15.0,3.0,2004.0,19.0,0.0,0.0,2040.0,1754.0,542.0,2679.0,2122.0
123,123,123,123,6.5,538.0,31.0,320.0,165.0,18.3,52.6,1.0945,15.0,3.0,2004.0,20.0,0.0,0.0,1895.0,1573.0,565.0,2443.0,1992.0
124,124,124,124,4.2,319.0,19.9,256.0,145.0,16.7,57.4,1.0786,15.0,3.0,2004.0,21.0,0.0,0.0,1595.0,1294.0,678.0,2058.0,1707.0
125,125,125,125,3.2,224.0,15.3,193.0,125.0,15.7,60.2,1.0654,15.0,3.0,2004.0,22.0,0.0,0.0,1439.0,1159.0,764.0,1856.0,1494.0
126,126,126,126,1.4,67.0,6.9,89.0,101.0,15.3,61.4,1.058,15.0,3.0,2004.0,23.0,0.0,0.0,1142.0,852.0,1008.0,1547.0,1164.0
127,127,127,127,2.1,155.0,11.1,127.0,103.0,14.1,65.7,1.0494,16.0,3.0,2004.0,0.0,0.0,0.0,1304.0,1019.0,852.0,1731.0,1272.0
128,128,128,128,1.2,49.0,5.4,79.0,88.0,14.8,60.6,1.0148,16.0,3.0,2004.0,1.0,0.0,0.0,1074.0,784.0,1098.0,1483.0,1040.0
129,129,129,129,0.8,29.0,2.8,43.0,61.0,14.8,59.2,0.9879,16.0,3.0,2004.0,2.0,0.0,0.0,968.0,640.0,1320.0,1386.0,867.0
130,130,130,130,0.7,25.0,2.3,-200.0,-200.0,13.6,62.1,0.9636,16.0,3.0,2004.0,3.0,0.0,0.0,929.0,608.0,1376.0,1364.0,826.0
131,131,131,131,-200.0,25.0,2.6,59.0,59.0,12.3,66.2,0.945,16.0,3.0,2004.0,4.0,0.0,0.0,941.0,626.0,1316.0,1373.0,840.0
132,132,132,132,0.6,17.0,2.0,38.0,52.0,12.8,63.2,0.9283,16.0,3.0,2004.0,5.0,0.0,0.0,937.0,585.0,1412.0,1348.0,793.0
133,133,133,133,0.9,27.0,3.5,82.0,64.0,11.2,68.5,0.9081,16.0,3.0,2004.0,6.0,0.0,0.0,1017.0,681.0,1246.0,1418.0,870.0
134,134,134,134,1.3,50.0,5.1,99.0,70.0,11.0,66.5,0.8705,16.0,3.0,2004.0,7.0,0.0,0.0,1171.0,770.0,1162.0,1467.0,930.0
135,135,135,135,3.4,218.0,16.2,263.0,97.0,11.7,63.7,0.8719,16.0,3.0,2004.0,8.0,0.0,0.0,1541.0,1185.0,770.0,1889.0,1407.0
136,136,136,136,3.7,285.0,19.7,229.0,95.0,13.6,56.3,0.8743,16.0,3.0,2004.0,9.0,0.0,0.0,1539.0,1287.0,698.0,2055.0,1507.0
137,137,137,137,5.3,437.0,25.1,396.0,150.0,17.8,42.9,0.8672,16.0,3.0,2004.0,10.0,0.0,0.0,1735.0,1431.0,628.0,2211.0,1843.0
138,138,138,138,4.1,327.0,20.0,314.0,162.0,21.4,33.3,0.8417,16.0,3.0,2004.0,11.0,0.0,0.0,1571.0,1297.0,730.0,1973.0,1729.0
139,139,139,139,3.3,283.0,18.3,217.0,154.0,24.4,27.4,0.8231,16.0,3.0,2004.0,12.0,0.0,0.0,1452.0,1250.0,776.0,1868.0,1583.0
140,140,140,140,4.0,366.0,22.3,252.0,161.0,25.3,26.1,0.8264,16.0,3.0,2004.0,13.0,0.0,0.0,1579.0,1359.0,724.0,1998.0,1671.0
141,141,141,141,3.8,318.0,20.4,263.0,161.0,25.8,23.2,0.7589,16.0,3.0,2004.0,14.0,0.0,0.0,1466.0,1309.0,773.0,1897.0,1491.0
142,142,142,142,2.8,228.0,14.6,180.0,128.0,27.0,20.2,0.7094,16.0,3.0,2004.0,15.0,0.0,0.0,1280.0,1136.0,893.0,1675.0,1240.0
143,143,143,143,2.9,201.0,16.6,184.0,129.0,28.2,18.6,0.7014,16.0,3.0,2004.0,16.0,0.0,0.0,1407.0,1197.0,905.0,1759.0,1313.0
144,144,144,144,2.9,199.0,15.8,190.0,133.0,28.0,19.1,0.7098,16.0,3.0,2004.0,17.0,0.0,0.0,1389.0,1173.0,898.0,1739.0,1363.0
145,145,145,145,3.4,237.0,17.8,184.0,139.0,23.9,25.7,0.7519,16.0,3.0,2004.0,18.0,0.0,0.0,1447.0,1235.0,859.0,1778.0,1296.0
146,146,146,146,3.9,261.0,19.1,181.0,137.0,21.3,34.8,0.873,16.0,3.0,2004.0,19.0,0.0,0.0,1551.0,1271.0,800.0,1875.0,1432.0
147,147,147,147,3.2,230.0,15.8,166.0,143.0,20.4,36.7,0.8704,16.0,3.0,2004.0,20.0,0.0,0.0,1474.0,1173.0,854.0,1776.0,1432.0
148,148,148,148,5.1,349.0,24.9,317.0,177.0,19.0,41.3,0.9007,16.0,3.0,2004.0,21.0,0.0,0.0,1800.0,1426.0,700.0,2106.0,2034.0
149,149,149,149,2.6,183.0,13.5,184.0,138.0,17.9,45.9,0.9342,16.0,3.0,2004.0,22.0,0.0,0.0,1379.0,1101.0,818.0,1710.0,1602.0
150,150,150,150,1.7,88.0,9.1,130.0,117.0,16.7,48.9,0.9226,16.0,3.0,2004.0,23.0,0.0,0.0,1201.0,943.0,935.0,1560.0,1362.0
151,151,151,151,1.7,85.0,8.6,132.0,107.0,15.5,52.9,0.9271,17.0,3.0,2004.0,0.0,0.0,0.0,1205.0,925.0,922.0,1547.0,1314.0
152,152,152,152,1.2,47.0,5.4,95.0,90.0,15.5,51.9,0.9059,17.0,3.0,2004.0,1.0,0.0,0.0,1072.0,784.0,1066.0,1442.0,1114.0
153,153,153,153,0.9,34.0,4.1,70.0,79.0,14.1,55.6,0.891,17.0,3.0,2004.0,2.0,0.0,0.0,998.0,714.0,1169.0,1383.0,992.0
